System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
MediaWiki,1.17.0,695603,1108,1403979,82527,6,4,9,72,68,0,1,0,0,0,160,0,2,0,0,9,0,11,533,409,2,3,5,61,60,0,0,121
MediaWiki,1.17.1,708878,1108,1425776,82573,6,4,9,72,68,0,1,0,0,0,160,0,2,0,0,9,0,11,533,409,2,3,5,61,60,0,0,121
MediaWiki,1.17.2,719857,1108,1444543,82578,6,4,9,72,68,0,1,0,0,0,160,0,2,0,0,9,0,11,533,409,2,3,5,61,60,0,0,121
MediaWiki,1.17.3,721552,1109,1447650,82718,6,4,9,72,68,0,1,0,0,0,160,0,2,0,0,9,0,11,533,409,2,3,5,61,60,0,0,121
MediaWiki,1.17.4,721557,1109,1447661,82722,6,4,9,72,68,0,1,0,0,0,160,0,2,0,0,9,0,11,533,409,2,3,5,61,60,0,0,121
MediaWiki,1.17.5,721605,1109,1447872,82758,6,4,9,72,68,0,1,0,0,0,160,0,2,0,0,9,0,11,533,409,2,3,5,61,60,0,0,121
MediaWiki,1.18.0,760662,1323,1534638,94019,7,3,11,77,87,0,1,0,0,0,186,2,3,0,0,13,0,18,629,486,4,1,5,66,75,0,0,141
MediaWiki,1.18.1,772150,1323,1554333,94050,7,3,11,77,87,0,1,0,0,0,186,2,3,0,0,13,0,18,629,486,4,1,5,66,75,0,0,141
MediaWiki,1.18.2,774441,1324,1558487,94186,7,3,11,77,87,0,1,0,0,0,186,2,3,0,0,13,0,18,629,486,4,1,5,66,75,0,0,141
MediaWiki,1.18.3,774452,1324,1558511,94193,7,3,11,77,87,0,1,0,0,0,186,2,3,0,0,13,0,18,629,486,4,1,5,66,75,0,0,141
MediaWiki,1.18.4,774500,1324,1558722,94229,7,3,11,77,87,0,1,0,0,0,186,2,3,0,0,13,0,18,629,486,4,1,5,66,75,0,0,141
MediaWiki,1.18.5,773424,1324,1556959,94243,7,3,11,77,87,0,1,0,0,0,186,2,3,0,0,13,0,18,629,486,4,1,5,66,75,0,0,141
MediaWiki,1.18.6,789718,1324,1583703,94255,7,3,11,77,87,0,1,0,0,0,186,2,3,0,0,13,0,18,629,486,4,1,5,66,75,0,0,141
MediaWiki,1.19.0,792371,1419,1601557,98730,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.1,792431,1419,1601776,98770,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.2,808227,1419,1629434,98826,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.3,816337,1419,1642058,98840,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.4,822902,1419,1649598,98857,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
